QR ID,Use Case,Placement,Label / Intent,Permanent URL,Destination Type,Final Redirect,Notes
MOR-QR-001,Packaging,Product box sticker,Scan for Manual,https://dauermanufacturing.com/morpheus/start,Morpheus start/resource page,,"Best packaging destination. Landing page should link manual, uplight + downlight spec sheets, app download, demo video, and support."
MOR-QR-002,Portal / Resource Hub,Morpheus Portal page,Morpheus Documentation Portal,https://dauermanufacturing.com/morpheus,Main Morpheus portal page,,"Online index page linking uplight spec, downlight spec, user manual, and showcase video."
MOR-QR-003,Portal / Resource Hub,Portal / packaging / dealer handout,Download User Manual,https://dauermanufacturing.com/morpheus/manual,User manual PDF or manual landing page,,"Stable public manual link. Current manual is 11 pages: specs, beam/lumen output, safety, Ch 1-10, Topics 11-15."
MOR-QR-004,Portal / Resource Hub,Portal / packaging / dealer handout,View Uplight Specification Sheet,https://dauermanufacturing.com/morpheus/specs/uplight,Uplight spec PDF or spec landing page,,5-page uplight spec sheet. Use for the uplight card on the portal.
MOR-QR-005,Portal / Resource Hub,Portal / packaging / dealer handout,View Downlight Specification Sheet,https://dauermanufacturing.com/morpheus/specs/downlight,Downlight spec PDF or spec landing page,,Downlight spec content is identical to uplight except mounting/ordering. Use for the downlight card on the portal.
MOR-QR-006,Portal / Resource Hub,Portal showcase section,Morpheus Showcase Video,https://dauermanufacturing.com/morpheus/showcase,Promo video page,,Matches the large showcase video section on the portal.
MOR-QR-007,"Spec Sheet, shared by Uplight + Downlight",Spec sheet page 1 / cover,Watch Demo Video,https://dauermanufacturing.com/morpheus/demo,General product demo video,,"Same QR on uplight and downlight covers. Cover caption reads ""Scan QR to watch demo video."""
MOR-QR-008,"Spec Sheet, shared by Uplight + Downlight",Page 4 · Smart Features 01 · Beam,App-Adjustable Beam Presets Demo,https://dauermanufacturing.com/morpheus/demo/beam-presets,Feature demo video,,Save and recall 16°-70° presets with no field optics swap.
MOR-QR-009,"Spec Sheet, shared by Uplight + Downlight",Page 4 · Smart Features 02 · Optics,Vertical & Horizontal Modes Demo,https://dauermanufacturing.com/morpheus/demo/vertical-horizontal,Feature demo video,,"Two-axis liquid-crystal control reshapes the beam without rotating the fixture. Vertical 16°x70°, horizontal 70°x16°."
MOR-QR-010,"Spec Sheet, shared by Uplight + Downlight",Page 4 · Smart Features 03 · Dimming,Smooth Dimming and Shaping Demo,https://dauermanufacturing.com/morpheus/demo/dimming,Feature demo video,,Per-fixture brightness plus X/Y beam shaping from the control panel.
